,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
0,1stdibs,_Series_C,230,134,15000000,Semiconductors,213,13,7,1.863849765,1.521126761,0.957746479,1.098591549,130.5164319,0.9342723,1.093896714,0.840375587,0.436619718,0.145539906,5.780192121,7.009816207,1.087275716,1.882052244,38.45146368,1.079569735,1.876018045,0.458529077,0.515762699,0.353475086,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.038289746,0.068850256,0.010989011,0.082417582,5.665714192967751,15.165914549182919,9.464428638001378,2.854831935604887,2.120829727249634,0.2830214526095263,0.44865625208344057,0.529652125635078,0.4724013926776527,43.11552308209166,0.5114931452557702,0.46539967185870984,0.7921005722256254,0.1401938349525569,0.0790902675018316,0.6294725765900593,0.9908583174566656,0.5865266058476409,1.1877926442135631,1.6143846916742912,0.5801544916651453,1.2205473524011339,1.4373377175330047,0.44314661118688536,0.2612900144444358,0.0,0.0,0.0,0.0,0.0,0.0,0.009547481562854952,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.04424421226938035,0.08945483052104702,0.01145103071956448,0.11285585296362216,16.523560759066484
1,2tor,_Series_C,10,32,32500000,,162,98,42,0.061728395,0.197530864,0.956790123,0.574074074,108.6234568,0.864197531,0.574074074,0.697530864,0.185185185,0.0,0.328583597,0.648356797,1.28705338,0.648031473,34.01150982,1.268373893,0.648031473,0.48696686,0.389652213,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.018364298,0.042563833,0.0,0.060606061,2.4405951676690076,7.58383902654805,8.710707778791658,5.275803436653771,3.8980605890683115,0.05413243047483716,0.15378973772817597,0.5293544972970371,0.34113129785607343,37.736988925544914,0.48950334218021146,0.33818676606919457,0.663010813332899,0.1032769591369806,0.0,0.23137970910266928,0.40911900414002184,0.641890253116536,0.5272265079916708,1.5969138294829492,0.6321504713213225,0.5344534111843559,1.6343284095347275,0.3459448216818224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.019675471068071812,0.04999152708719791,0.0,0.07628038688659879,17.296750647299966
2,365Scores,_Series_B,15,23,5500000,Apps,163,1,1,0.09202454,0.141104294,0.582822086,1.515337423,181.8957055,0.552147239,1.490797546,0.914110429,0.18404908,0.049079755,0.348006952,0.656188965,0.822642167,1.113086179,43.44566828,0.771029248,1.09074727,0.302229841,0.388718436,0.21670031,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.019701217,0.046835995,0.006329114,0.006329114,2.829781151195192,6.38289972463701,8.727206985982448,0.7074663335665838,0.697705719516204,0.0759580185072436,0.1174023914788548,0.38947378396312743,0.5328203900588454,54.807652156285215,0.37008945950591826,0.52174242818535,0.8580328976883012,0.10295493784508772,0.03905947661768955,0.24075931028593572,0.4122442049472389,0.49819210741660497,0.8112805870081972,1.630754734242738,0.47581967425499666,0.8151946002660305,0.6459719242455025,0.3452025502172933,0.17816293170184885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.02121465149708897,0.05591491063621986,0.006480833499139838,0.006480833499139838,15.520258650202699
3,36Kr,_Series_C,58,21,20000,Startups,173,83,43,1.312138728,0.393063584,0.36416185,0.520231214,149.6647399,0.289017341,0.427745665,0.630057803,0.023121387,0.0,12.93614562,2.761099878,0.792617842,1.009199518,85.56979182,0.680069819,0.896851148,0.518964193,0.150725271,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.036363951,0.058589433,0.051546392,0.077319588,4.202034711229639,6.080361361846904,8.887894811173116,5.061567415978358,3.9227485790348715,0.27453499423611805,0.24923097260404026,0.27751704850727543,0.32158574120231664,47.60698101283937,0.22955387413730274,0.28200902773590086,0.6013702002955187,0.021254940813362645,0.0,0.6545097017489355,0.8037405680334636,0.48683147486224065,0.7524441318808582,1.7054305604561681,0.4390740752342797,0.6982001585352638,1.8796771560099552,0.14340873979394125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.041711786437823334,0.07317235028303701,0.06265869736922135,0.10380330627290396,9.903487552536127
4,6fusion,_Series_B,2,28,7000000,Hardware + Software,177,251,131,0.011299435,0.15819209,0.593220339,0.468926554,108.6214689,0.564971751,0.463276836,0.576271186,0.384180791,0.050847458,0.105996385,0.462027532,0.894147208,0.78363625,32.63413216,0.896656748,0.776103684,0.539467009,0.487780841,0.22030935,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.021415361,0.037836936,0.0,0.0,1.1075182856746335,7.078164788042452,8.950091932667597,6.534200678924075,5.11511465670456,0.01102178972862763,0.1289490668461852,0.39412789317967967,0.30140451485026315,37.73648699834751,0.375840480518195,0.2968750403695218,0.551908144417175,0.13612110848795336,0.040153595353334966,0.09351112237039602,0.32580138900621736,0.5240512207196727,0.6159563955467781,1.590787347965717,0.5217025938987496,0.6208403037705549,2.0510622436070385,0.42208106960066644,0.18059531915354793,0.0,0.0,0.0,0.0,0.0,0.008274484021510913,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.02321031410981646,0.04364560357752891,0.0,0.0,15.761420707019587
5,6sense,_Series_A,42,43,12000000,Invest Online,215,47,24,0.195348837,0.241860465,0.646511628,0.497674419,104.4976744,0.595348837,0.451162791,0.181395349,0.102325581,0.0,0.55448616,1.066532629,0.782802549,1.167609662,74.45721813,0.748192054,1.06612498,0.386244689,0.303783288,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.032786901,0.070523441,0.016216216,0.113513514,3.866964175545463,8.80749448551846,9.490897053828606,4.347216560613975,3.3187685658903296,0.1333665561113225,0.17916807421690864,0.41717592599269293,0.3129105461175783,36.689428515546915,0.389128937025571,0.29190328259351866,0.1786628941300591,0.07235856241915664,0.0,0.3227939558271602,0.5453023838725098,0.48304954282939366,0.8412546640232865,1.6921284166257535,0.4668932203638251,0.8007907552594729,1.0157772763750768,0.2761766042107352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20486466516246088,0.0,0.0,0.0,0.03710030648094582,0.09222276504730867,0.01723381802880358,0.17547245430092878,16.300417207752275
6,AHAlife,_Series_B,20,46,10100000,Shopping,155,19,9,0.858064516,0.864516129,1.477419355,0.206451613,115.2064516,1.432258065,0.180645161,0.896774194,0.083870968,0.090322581,6.114108349,4.032461495,1.456447751,0.505768981,29.27072399,1.432549969,0.476335685,0.397625967,0.278092732,0.287572508,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022184474,0.07953645,0.01459854,0.160583942,3.113576298399507,9.108321996467897,8.592873013272111,3.275778348553935,2.353404415513874,0.2562749595886117,0.3734595286890841,0.6612609525394447,0.16619956763511654,39.3848743456162,0.6342848650003183,0.14858142163387542,0.8425723521745578,0.06283621011058807,0.060452855374431735,0.6321080645656072,0.889937840244756,0.6829631255366015,0.4277392778696939,1.5740685503056369,0.6718422589516119,0.4105563270785437,1.0752224452099757,0.2546812910150586,0.2234375504664326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.024113908758716954,0.10770059318927062,0.015420345017884363,0.29879284191511735,16.12804598181149
7,AbilTo,_Series_A,18,54,3000000,VoIP,194,415,168,0.149484536,0.463917526,0.891752577,0.520618557,100.2216495,0.829896907,0.494845361,0.412371134,0.139175258,0.087628866,0.929273348,2.218910042,1.490430275,1.044148575,49.9034025,1.445712973,1.044340398,0.51410322,0.347024868,0.283485973,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.040220984,0.062626962,0.023391813,0.064327485,3.0089955551439265,9.857843652677417,9.20249705992107,7.23837077090162,5.386724682644628,0.11069270335700328,0.27525772445065494,0.508502285038441,0.3217321023921536,35.590967490045635,0.47818618133328233,0.30938478058697017,0.39927757112197115,0.08817975076532578,0.05928842951462018,0.41807319771370144,0.7483730180435896,0.6906472519310558,0.7724991949123015,1.6481666115492786,0.674831924983842,0.7879416842770699,1.8407060215200601,0.3116985140467352,0.22096259810828875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20486466516246088,0.0,0.0,0.0,0.04681928755856365,0.0794396232989605,0.025542639586475638,0.08213302689903342,14.914122846632385
10,Achievers,_Series_A,4,0,4700000,Technology,153,422,168,0.026143791,0.0,0.241830065,0.013071895,100.6862745,0.235294118,0.0,0.352941176,0.0,0.0,0.160086836,0.0,0.459206177,0.113955676,35.48822462,0.455445211,0.0,0.479454024,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.062574405,0.033688447,0.125,0.0,1.6285994861793842,0.0,8.5584246876317,7.2621715681528,5.386724682644628,0.024695927899407694,0.0,0.20015895334387174,0.012876273975467423,35.71097369579025,0.19426883464470468,0.0,0.3431701828133122,0.0,0.0,0.13313482866228835,0.0,0.3355648133273489,0.10917146581938285,1.6030849576292312,0.332297368521727,0.0,1.5804275269200654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20486466516246088,0.0,0.0,0.0,0.07935689169005544,0.03825135764176137,0.20213421945177998,0.0,15.363073066680286
11,Achievers,_Series_C,16,67,24500000,Technology,209,3,2,0.076555024,0.401913876,0.449760766,0.377990431,111.2488038,0.392344498,0.377990431,0.339712919,0.004784689,0.009569378,0.408886384,1.464711895,1.09571387,0.963613881,30.05996109,1.051161791,0.963613881,0.484769884,0.069171446,0.097587762,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,2.892952062832003,10.94679373321309,9.410888506330691,1.4443624942736932,1.1100931841904966,0.06515427758099207,0.2526850660238017,0.32483695072122754,0.2613071255894111,38.39756184477193,0.2904583896925751,0.2596589981769,0.330622473467853,0.00470064229424076,0.009133995296460145,0.2680825306572724,0.6350713408740103,0.5890394191949158,0.7258689981105322,1.5782396437238155,0.5716468699550424,0.7394338935909535,1.6184248051932495,0.06756352713587893,0.0889251149062907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,,,,,17.014183675514957
